1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
45;25;20;25;15;30;15;30;15;5;15;25;35;60;45;30;50;30
10;5;5;10;15;5;10;15;10;5;10;15;60;15;25;15;10;35
65;35;20;25;35;40;20;45;20;10;30;60;25;70;60;50;85;45
30;30;15;5;15;30;5;30;15;10;25;30;20;25;55;20;70;30
45;40;5;15;15;35;10;45;10;15;20;25;45;45;40;20;50;40
45;35;20;20;20;30;20;30;10;20;15;35;55;55;30;60;45;40
49.33;33.66;17.33;16.66;20.33;33.66;13.66;36;14.33;12.33;21;33.66;45.33;56;43;44.66;57;35.33
0.26;0.13;0.2;0.26;0.13;0.2;0.13;0.13;0.13;0.2;0.2;0.2;0.2;0.2;0.06;0.26;0.26;0.33
0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.06;0;0;0.13
0.26;0.33;0.26;0.13;0.2;0.26;0.26;0.33;0.2;0.13;0.13;0.13;0.13;0.26;0.26;0.2;0.2;0.13
0.06;0.13;0.33;0.33;0.33;0.13;0.33;0.26;0.33;0.2;0.26;0.13;0;0.06;0.06;0.06;0.06;0.13
0.13;0.13;0.06;0.06;0.06;0.2;0.06;0.06;0.13;0.26;0.26;0.2;0.26;0.2;0.26;0.2;0.2;0.13
0.26;0.26;0.13;0.26;0.26;0.2;0.2;0.26;0.2;0.2;0.13;0.33;0.2;0.26;0.26;0.26;0.26;0.13
